year,month,gender,births
1969,1,F,143704
1969,1,M,150172
1969,2,F,132218
1969,2,M,138316
1969,3,F,144020
1969,3,M,152416
1969,4,F,137182
1969,4,M,145288
1969,5,F,140864
1969,5,M,148154
1969,6,F,141830
1969,6,M,149618
1969,7,F,154590
1969,7,M,163698
1969,8,F,155802
1969,8,M,165120
1969,9,F,152292
1969,9,M,160152
1969,10,F,151686
1969,10,M,160190
1969,11,F,144870
1969,11,M,151972
1969,12,F,153778
1969,12,M,160646
1970,1,F,146670
1970,1,M,155470
1970,2,F,137660
1970,2,M,143522
1970,3,F,149098
1970,3,M,158110
1970,4,F,139928
1970,4,M,146996
1970,5,F,144864
1970,5,M,153132
1970,6,F,147674
1970,6,M,155488
1970,7,F,159766
1970,7,M,170460
1970,8,F,160686
1970,8,M,170428
1970,9,F,161142
1970,9,M,171050
1970,10,F,158542
1970,10,M,165344
1970,11,F,151048
1970,11,M,158254
1970,12,F,160484
1970,12,M,168790
1971,1,F,152274
1971,1,M,160532
1971,2,F,138272
1971,2,M,145740
1971,3,F,150314
1971,3,M,157980
1971,4,F,138970
1971,4,M,147298
1971,5,F,138124
1971,5,M,146766
1971,6,F,139780
1971,6,M,145694
1971,7,F,147610
1971,7,M,157886
1971,8,F,152782
1971,8,M,160304
1971,9,F,152646
1971,9,M,158788
1971,10,F,148640
1971,10,M,154564
1971,11,F,137204
1971,11,M,144524
1971,12,F,139940
1971,12,M,146442
1972,1,F,135178
1972,1,M,141342
1972,2,F,128226
1972,2,M,134608
1972,3,F,133277
1972,3,M,140352
1972,4,F,124162
1972,4,M,130885
1972,5,F,131125
1972,5,M,139140
1972,6,F,126765
1972,6,M,133428
1972,7,F,135634
1972,7,M,142618
1972,8,F,139990
1972,8,M,148556
1972,9,F,138648
1972,9,M,144366
1972,10,F,134610
1972,10,M,141269
1972,11,F,129006
1972,11,M,135607
1972,12,F,135538
1972,12,M,141533
1973,1,F,130135
1973,1,M,136294
1973,2,F,117695
1973,2,M,123948
1973,3,F,131759
1973,3,M,137723
1973,4,F,120647
1973,4,M,127405
1973,5,F,124051
1973,5,M,131202
1973,6,F,123497
1973,6,M,131268
1973,7,F,134027
1973,7,M,141869
1973,8,F,137716
1973,8,M,144427
1973,9,F,133199
1973,9,M,138376
1973,10,F,129588
1973,10,M,136790
1973,11,F,122781
1973,11,M,129945
1973,12,F,127764
1973,12,M,133564
1974,1,F,125887
1974,1,M,132382
1974,2,F,115851
1974,2,M,121419
1974,3,F,125592
1974,3,M,133229
1974,4,F,120327
1974,4,M,126942
1974,5,F,125099
1974,5,M,132656
1974,6,F,121381
1974,6,M,129933
1974,7,F,136716
1974,7,M,143841
1974,8,F,140049
1974,8,M,147423
1974,9,F,138827
1974,9,M,145816
1974,10,F,136445
1974,10,M,144820
1974,11,F,126204
1974,11,M,132702
1974,12,F,130490
1974,12,M,136275
1975,1,F,126436
1975,1,M,133588
1975,2,F,116313
1975,2,M,122482
1975,3,F,127645
1975,3,M,134728
1975,4,F,122178
1975,4,M,129521
1975,5,F,127512
1975,5,M,134694
1975,6,F,124319
1975,6,M,132061
1975,7,F,136449
1975,7,M,144145
1975,8,F,137205
1975,8,M,143574
1975,9,F,133611
1975,9,M,140975
1975,10,F,131439
1975,10,M,137213
1975,11,F,122426
1975,11,M,128304
1975,12,F,129911
1975,12,M,136637
1976,1,F,125721
1976,1,M,132233
1976,2,F,118836
1976,2,M,124684
1976,3,F,126557
1976,3,M,132291
1976,4,F,119113
1976,4,M,125165
1976,5,F,123048
1976,5,M,129310
1976,6,F,124852
1976,6,M,132440
1976,7,F,135859
1976,7,M,142210
1976,8,F,137594
1976,8,M,145180
1976,9,F,137935
1976,9,M,145298
1976,10,F,136110
1976,10,M,142909
1976,11,F,128206
1976,11,M,135847
1976,12,F,133677
1976,12,M,141191
1977,1,F,132689
1977,1,M,139315
1977,2,F,123913
1977,2,M,129878
1977,3,F,137196
1977,3,M,144371
1977,4,F,127915
1977,4,M,134946
1977,5,F,133315
1977,5,M,141854
1977,6,F,132984
1977,6,M,140775
1977,7,F,141820
1977,7,M,149701
1977,8,F,146109
1977,8,M,153581
1977,9,F,143337
1977,9,M,149587
1977,10,F,139711
1977,10,M,146583
1977,11,F,131033
1977,11,M,138383
1977,12,F,133285
1977,12,M,139767
1978,1,F,132832
1978,1,M,138230
1978,2,F,121822
1978,2,M,128434
1978,3,F,135144
1978,3,M,141822
1978,4,F,123924
1978,4,M,131001
1978,5,F,131255
1978,5,M,139912
1978,6,F,131386
1978,6,M,139673
1978,7,F,143180
1978,7,M,151943
1978,8,F,147520
1978,8,M,155814
1978,9,F,143723
1978,9,M,150663
1978,10,F,142034
1978,10,M,147382
1978,11,F,133706
1978,11,M,141429
1978,12,F,139750
1978,12,M,145618
1979,1,F,138547
1979,1,M,146323
1979,2,F,127469
1979,2,M,133894
1979,3,F,140364
1979,3,M,148694
1979,4,F,132012
1979,4,M,139546
1979,5,F,140030
1979,5,M,147529
1979,6,F,137410
1979,6,M,145308
1979,7,F,151634
1979,7,M,160007
1979,8,F,155878
1979,8,M,162623
1979,9,F,150252
1979,9,M,156886
1979,10,F,148289
1979,10,M,156305
1979,11,F,141337
1979,11,M,147420
1979,12,F,142587
1979,12,M,149393
1980,1,F,142410
1980,1,M,150077
1980,2,F,136566
1980,2,M,143826
1980,3,F,144866
1980,3,M,152880
1980,4,F,139849
1980,4,M,147345
1980,5,F,143001
1980,5,M,151116
1980,6,F,142542
1980,6,M,150919
1980,7,F,157170
1980,7,M,165183
1980,8,F,157849
1980,8,M,165794
1980,9,F,156379
1980,9,M,164691
1980,10,F,152016
1980,10,M,159780
1980,11,F,141570
1980,11,M,148525
1980,12,F,148226
1980,12,M,155368
1981,1,F,143895
1981,1,M,151190
1981,2,F,134085
1981,2,M,139557
1981,3,F,147065
1981,3,M,155093
1981,4,F,139155
1981,4,M,146812
1981,5,F,144881
1981,5,M,151960
1981,6,F,144843
1981,6,M,153579
1981,7,F,158860
1981,7,M,167905
1981,8,F,161180
1981,8,M,169345
1981,9,F,156678
1981,9,M,163899
1981,10,F,151134
1981,10,M,158542
1981,11,F,141817
1981,11,M,149567
1981,12,F,148429
1981,12,M,156009
1982,1,F,146033
1982,1,M,152302
1982,2,F,135137
1982,2,M,142177
1982,3,F,149263
1982,3,M,156955
1982,4,F,142237
1982,4,M,149596
1982,5,F,149270
1982,5,M,157376
1982,6,F,150231
1982,6,M,158005
1982,7,F,160286
1982,7,M,168662
1982,8,F,160912
1982,8,M,168697
1982,9,F,159153
1982,9,M,167902
1982,10,F,153476
1982,10,M,160884
1982,11,F,144502
1982,11,M,151819
1982,12,F,146707
1982,12,M,153792
1983,1,F,145415
1983,1,M,152596
1983,2,F,135292
1983,2,M,141975
1983,3,F,151798
1983,3,M,159411
1983,4,F,142873
1983,4,M,151330
1983,5,F,147943
1983,5,M,155589
1983,6,F,147427
1983,6,M,156795
1983,7,F,154812
1983,7,M,163478
1983,8,F,158257
1983,8,M,166139
1983,9,F,153539
1983,9,M,161291
1983,10,F,149305
1983,10,M,156819
1983,11,F,142292
1983,11,M,148978
1983,12,F,146309
1983,12,M,153068
1984,1,F,142954
1984,1,M,149572
1984,2,F,137639
1984,2,M,144259
1984,3,F,148560
1984,3,M,155777
1984,4,F,139795
1984,4,M,146329
1984,5,F,145853
1984,5,M,153875
